AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
-702,-3195,3708,5,97,7,733,-298,-476
-596,182,4096,-3,-20,-9,47,239,-156
-364,190,4871,373,83,-384,44,245,-155
-371,320,4604,401,79,-450,53,246,-156
-540,213,4604,395,15,-700,63,243,-163
-1100,-175,4543,773,-33,-635,82,248,-170
-1426,524,3857,1269,78,-490,99,234,-195
-1585,1015,3511,1220,247,-260,115,197,-208
-1434,1585,2964,1184,111,-67,133,128,-227
-1183,2032,2429,1049,83,108,145,61,-223
-831,2640,1697,523,228,157,147,-1,-205
-778,3065,1568,-528,-226,-25,148,-46,-185
-725,2252,2678,-931,-251,-115,147,-45,-186
-1032,1608,2667,-1091,-285,-169,145,-1,-211
-820,1138,3405,-1704,91,-401,137,67,-220
-696,69,3944,-1853,-300,-549,143,164,-214
-490,-689,3991,-1523,-454,-477,120,264,-168
-500,-1013,4634,-1153,231,-442,124,330,-104
-840,-1619,4011,-1110,58,-396,123,344,38
-792,-2183,4396,-993,124,-184,140,244,172
,,,,,,,,
-866,-2335,3960,-555,68,-152,203,35,223
-642,0,3952,-73,-29,-27,19,253,-169
-1477,-517,4709,730,388,-780,39,261,-153
-1814,-343,4100,986,-75,-933,58,265,-155
-1481,240,3993,1062,-27,-781,80,262,-168
-1398,409,3972,1401,248,-510,100,230,-195
-1947,643,3252,2298,163,-252,119,175,-221
-980,1120,3106,3600,56,471,141,93,-208
-412,3898,139,706,256,546,148,-70,-140
-483,3878,161,-661,92,-224,150,-166,-79
-443,2962,794,-1469,-1146,-606,151,-173,-82
-375,1281,1093,-3256,-489,-758,133,-110,-147
-929,72,3847,-1837,-102,-229,115,56,-221
-810,-658,4573,-1723,-336,-300,104,197,-212
-499,-672,4514,-1133,-25,-395,91,308,-146
-833,-1083,4163,-1006,-445,-426,82,355,-21
107,-1815,5683,-951,-176,-428,68,348,145
-455,-2171,4496,-789,-217,-204,103,182,318
-177,-2148,4222,-878,-160,-66,209,-65,345
-439,-2407,3693,-793,-52,-40,373,-273,201
,,,,,,,,
-162,-2589,3838,-128,-232,59,542,-311,21
50,338,4168,-12,-59,-39,-34,221,-201
-414,385,4590,880,297,-685,-26,213,-205
-576,459,4290,1001,162,-791,-3,203,-213
-753,758,3800,1071,118,-786,17,171,-229
-902,1109,3564,1509,-21,-806,44,132,-248
-1033,1616,3195,1741,-76,-767,59,73,-243
-1241,2663,1882,1274,-54,-130,73,-9,-224
-1098,3199,832,-67,-34,23,91,-79,-196
-386,2850,1434,-1350,-599,-44,93,-93,-191
-713,1571,2443,-1746,-796,161,78,-51,-222
-268,755,3877,-1553,-288,423,46,28,-255
-139,335,3945,-1517,-298,-44,12,132,-264
-457,291,3701,-1173,-346,-153,14,224,-245
-147,-611,4423,-1089,-214,-38,18,291,-180
70,-786,4362,-1031,-94,-22,28,334,-98
62,-1307,4288,-930,-109,-13,43,330,3
202,-1562,4032,-693,16,-44,95,256,104
-9,-1699,3540,-685,-85,-117,146,136,156
-41,-2125,3669,-801,162,-38,211,-29,99
,,,,,,,,
192,-2649,4029,-465,72,35,333,-144,-75
